5,19200,19456
5,17408,17664
5,493312,493568
5,494080,494336
5,502528,502784
5,505856,506112
5,507904,508160
5,18688,18944
5,6144,6400
5,427264,427520
5,512,768
5,22272,22528
5,498432,498688
5,496128,496384
5,16896,17152
5,13568,13824
5,12800,13056
5,1536,1792
5,509440,509696
5,20992,21248
5,486144,486400
5,477184,477440
5,504320,504576
5,4864,5120
5,25088,25344
5,503552,503808
5,498176,498432
5,7680,7936
5,24320,24576
5,507648,507904
5,484864,485120
5,4608,4864
5,2560,2816
5,17664,17920
5,22784,23040
5,260864,261120
5,400896,401152
5,510464,510720
5,489216,489472
5,492032,492288
5,10496,10752
5,512256,512512
5,499712,499968
5,487424,487680
5,19968,20224
5,121344,121600
5,477696,477952
5,16640,16896
5,490752,491008
5,91904,92160
5,495616,495872
5,490240,490496
5,212992,213248
5,246272,246528
5,675328,675584
5,1280,1536
5,11776,12032
5,84224,84480
5,492544,492800
5,497408,497664
5,6656,6912
5,462336,462592
5,495104,495360
5,126976,127232
5,18944,19200
5,0,256
5,502272,502528
5,1792,2048
5,16384,16640
5,4352,4608
5,504832,505088
5,489728,489984
5,508672,508928
5,505344,505600
5,476672,476928
5,493056,493312
5,317696,317952
5,407296,407552
5,492800,493056
5,26880,27136
5,8704,8960
5,22528,22784
5,16128,16384
5,181504,181760
5,496640,496896
5,226304,226560
5,173056,173312
5,252160,252416
5,479488,479744
5,2048,2304
5,499200,499456
5,15872,16128
5,24576,24832
5,13056,13312
5,300288,300544
5,14080,14336
5,109568,109824
5,5376,5632
5,65024,65280
5,290816,291072
5,497920,498176
5,289280,289536
5,262656,262912
5,11264,11520
5,7424,7680
5,568576,568832
5,434432,434688
5,465408,465664
5,498688,498944
5,675584,675840
5,502784,503040
5,354048,354304
5,478464,478720
5,498944,499200
5,509952,510208
5,416000,416256
5,178688,178944
5,8960,9216
5,506624,506880
5,55552,55808
5,202240,202496
5,149760,150016
5,192000,192256
5,432640,432896
5,497664,497920
5,2816,3072
5,184832,185088
5,12288,12544
5,264704,264960
5,676096,676352
5,9472,9728
5,326400,326656
5,20480,20736
5,501504,501760
5,517632,517888
5,329216,329472
5,116992,117248
5,483328,483584
5,230912,231168
5,369920,370176
5,47616,47872
5,501248,501504
5,684032,684288
5,14848,15104
5,183552,183808
5,263424,263680
5,23552,23808
5,67072,67328
5,508416,508672
5,438784,439040
5,478208,478464
5,360448,360704
5,333568,333824
5,12544,12800
5,432384,432640
5,504064,504320
5,585216,585472
5,93952,94208
5,123904,124160
5,516608,516864
5,88832,89088
5,53248,53504
5,78336,78592
5,497152,497408
5,506368,506624
5,237824,238080
5,456192,456448
5,52992,53248
5,481536,481792
5,20736,20992
5,272384,272640
5,632832,633088
5,176384,176640
5,137472,137728
5,446464,446720
5,768,1024
5,329472,329728
5,130304,130560
5,146688,146944
5,440832,441088
5,483840,484096
5,182528,182784
5,150784,151040
5,248832,249088
5,564992,565248
5,537088,537344
5,62976,63232
5,84736,84992
5,18176,18432
5,397568,397824
5,480512,480768
5,295936,296192
5,351744,352000
5,170240,170496
5,294656,294912
5,496384,496640
5,433664,433920
5,184064,184320
5,526080,526336
5,277760,278016
5,75264,75520
5,262912,263168
5,247808,248064
5,538368,538624
5,684544,684800
5,299008,299264
5,301568,301824
5,674304,674560
5,24064,24320
5,428288,428544
5,89856,90112
5,177664,177920
5,340224,340480
5,66048,66304
5,171776,172032
5,166400,166656
5,117248,117504
5,483584,483840
5,312320,312576
5,317440,317696
5,384000,384256
5,438528,438784
5,627456,627712
5,344576,344832
5,126720,126976
5,65280,65536
5,365056,365312
5,184576,184832
5,510720,510976
5,513024,513280
5,298752,299008
5,325120,325376
5,275200,275456
5,382208,382464
5,503296,503552
5,424704,424960
5,504576,504832
5,552192,552448
5,570624,570880
5,166912,167168
5,343296,343552
5,332032,332288
5,493568,493824
5,480768,481024
5,323072,323328
5,105216,105472
5,412672,412928
5,517888,518144
5,336896,337152
5,417024,417280
5,227584,227840
5,96256,96512
5,178176,178432
5,253184,253440
5,479744,480000
5,229376,229632
5,480256,480512
5,256,512
5,207872,208128
5,188672,188928
5,370432,370688
5,79872,80128
5,412416,412672
5,380928,381184
5,119808,120064
5,540672,540928
5,66304,66560
5,136192,136448
5,142592,142848
5,194304,194560
5,645376,645632
5,96512,96768
5,244224,244480
5,551936,552192
5,370688,370944
5,219648,219904
5,272896,273152
5,444160,444416
5,143872,144128
5,289792,290048
5,118272,118528
5,426752,427008
5,174592,174848
5,559360,559616
5,124672,124928
5,324352,324608
5,253952,254208
5,134656,134912
5,388608,388864
5,155392,155648
5,547072,547328
5,467200,467456
5,399360,399616
5,676608,676864
5,210944,211200
5,411648,411904
5,348416,348672
5,377856,378112
5,467968,468224
5,108800,109056
5,337664,337920
5,198912,199168
5,415744,416000
5,508160,508416
